id_source,id_target,distance
119,110,5566
119,170,3689
119,180,7790
119,257,10956
119,303,10712
121,563,12446
122,105,7172
122,178,6221
122,203,11869
122,303,8132
123,62,11964
123,216,9932
127,239,9711
128,73,4484
128,149,2172
128,150,5079
128,373,6886
129,93,9128
129,98,9128
129,202,6889
130,57,5786
130,407,9421
132,133,7155
132,545,6809
133,58,12735
133,132,7155
133,292,9196
133,401,12368
133,485,12219
133,545,11466
133,605,7133
135,16,6951
135,221,6306
135,332,5011
135,500,11606
135,584,9221
136,207,3607
136,266,5331
138,114,10923
138,475,10804
140,235,4785
140,298,5366
140,497,10495
141,144,5242
141,145,3662
141,195,7130
141,232,11579
143,275,10055
143,320,7858
143,570,8991
143,648,7520
144,81,11666
144,141,5242
144,145,6408
144,151,10373
144,195,4681
144,536,9775
145,141,3662
145,144,6408
145,195,5491
146,147,11950
147,146,11950
147,409,11987
149,73,3917
149,128,2172
149,150,2941
149,373,7465
150,73,4314
150,128,5079
150,149,2941
150,372,12754
150,373,8501
151,81,6276
151,144,10373
151,195,10264
151,327,9655
151,536,4810
152,223,8059
152,249,12887
152,300,8078
154,100,1359
154,172,4734
154,184,3193
154,307,9658
154,528,2804
156,51,12534
156,166,8297
156,378,9508
156,420,5905
156,549,12932
156,672,12556
157,182,12373
157,550,6381
159,249,5400
159,300,7937
159,342,2235
159,578,2980
159,650,10098
160,395,5223
160,497,8988
161,2,10426
161,12,9321
161,77,2111
161,204,7438
161,213,10488
161,338,7862
161,498,8818
161,515,8325
161,603,12180
161,663,5747
161,665,4273
163,87,12212
164,17,4674
164,48,11409
164,65,7349
165,661,11263
166,156,8297
166,348,9785
166,494,8420
166,511,10703
166,530,5808
166,672,9616
167,33,8268
167,80,10789
167,234,12319
168,49,12731
168,322,5777
168,670,1980
169,170,12039
169,203,9413
170,105,11777
170,110,7586
170,119,3689
170,169,12039
170,180,9936
170,303,10829
171,115,5252
171,231,7861
171,271,6407
171,366,5912
172,100,5996
172,154,4734
172,184,3070
172,307,4930
172,528,5882
173,181,8554
173,231,7464
173,238,10260
173,612,9478
174,215,12849
174,265,9626
174,272,6064
174,529,5911
174,616,7051
175,14,12194
175,349,12465
175,527,6347
176,514,9586
178,122,6221
178,203,10726
179,72,7607
179,82,5784
179,93,8991
179,98,8991
179,354,11560
180,105,6841
180,110,12431
180,119,7790
180,170,9936
180,257,6363
180,303,5984
181,173,8554
181,230,12377
181,231,9526
181,238,4436
181,370,5804
181,476,11668
182,157,12373
182,550,6331
183,97,8588
183,222,5938
184,100,3971
184,154,3193
184,172,3070
184,307,7589
184,528,2991
185,268,8966
185,489,4755
186,317,11442
187,493,8760
188,412,9111
188,545,12641
189,222,11190
189,438,5833
189,439,5816
190,578,10692
191,33,8528
191,79,10188
191,234,6066
191,309,12925
191,456,8270
192,95,9932
194,86,8303
194,88,6383
194,89,9526
194,393,11868
194,654,12598
194,655,10978
195,141,7130
195,144,4681
195,145,5491
195,151,10264
195,536,7512
196,367,12007
196,574,8381
197,8,10267
197,20,10742
197,399,6747
197,404,12452
197,516,12385
198,478,12495
198,481,10233
198,483,5152
198,484,9761
198,510,8664
198,543,10664
200,324,9448
201,323,5289
201,331,5231
202,129,6889
203,122,11869
203,169,9413
203,178,10726
204,2,5765
204,12,11613
204,15,10089
204,27,12179
204,31,11709
204,77,9265
204,161,7438
204,213,8109
204,338,7699
204,558,11441
204,603,6052
204,663,4309
204,665,11682
205,216,7430
205,415,11586
206,2,8321
206,27,10371
206,31,4386
206,40,11323
206,338,11659
206,659,12777
206,663,12875
207,136,3607
207,266,6560
208,9,9263
208,420,11049
208,445,8728
208,549,4687
211,61,4724
211,112,6962
213,12,6320
